what,kind,bundleId,bundleVersion,description,time
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529316538455
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1529316539228
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1529316539263
stopped,bundle,org.eclipse.jubula.app.autagent,1.1.0.201109140653,"org.eclipse.jubula.app.autagent",1529316539917
stopped,bundle,org.eclipse.jubula.app.autrun,1.1.0.201109140653,"org.eclipse.jubula.app.autrun",1529316539918
stopped,bundle,org.eclipse.jubula.client.autagent,1.1.0.201109140653,"org.eclipse.jubula.client.autagent",1529316539918
stopped,bundle,org.eclipse.jubula.autagent,1.1.0.201109140653,"org.eclipse.jubula.autagent",1529316539919
stopped,bundle,org.eclipse.jubula.app,1.1.0.201109140653,"org.eclipse.jubula.app",1529316539919
stopped,bundle,org.eclipse.jubula.app.cmd,1.1.0.201109140653,"org.eclipse.jubula.app.cmd",1529316539919
stopped,bundle,org.eclipse.jubula.app.dbtool,1.1.0.201109140653,"org.eclipse.jubula.app.dbtool",1529316539919
stopped,bundle,org.eclipse.jubula.client.inspector.ui,1.1.0.201109140653,"org.eclipse.jubula.client.inspector.ui",1529316539919
stopped,bundle,org.eclipse.jubula.toolkit.provider.html,1.1.0.201109140653,"org.eclipse.jubula.toolkit.provider.html",1529316539919
stopped,bundle,org.eclipse.jubula.toolkit.provider.rcp.gef,1.1.0.201109140653,"org.eclipse.jubula.toolkit.provider.rcp.gef",1529316539919
stopped,bundle,org.eclipse.jubula.toolkit.provider.rcp,1.1.0.201109140653,"org.eclipse.jubula.toolkit.provider.rcp",1529316539919
stopped,bundle,org.eclipse.jubula.toolkit.provider.swing,1.1.0.201109140653,"org.eclipse.jubula.toolkit.provider.swing",1529316539919
stopped,bundle,org.eclipse.jubula.toolkit.provider.swt,1.1.0.201109140653,"org.eclipse.jubula.toolkit.provider.swt",1529316539919
stopped,bundle,org.eclipse.jubula.client.ui,1.1.0.201109140653,"org.eclipse.jubula.client.ui",1529316539932
stopped,bundle,org.eclipse.jubula.client.core,1.1.0.201109140653,"org.eclipse.jubula.client.core",1529316539932
stopped,bundle,org.eclipse.jubula.toolkit.provider.base,1.1.0.201109140653,"org.eclipse.jubula.toolkit.provider.base",1529316539932
stopped,bundle,org.eclipse.jubula.toolkit.provider.concrete,1.1.0.201109140653,"org.eclipse.jubula.toolkit.provider.concrete",1529316539932
stopped,bundle,org.eclipse.jubula.toolkit.common,1.1.0.201109140653,"org.eclipse.jubula.toolkit.common",1529316539933
stopped,bundle,org.eclipse.jubula.client.ua.help,1.1.0.201109140653,"org.eclipse.jubula.client.ua.help",1529316539933
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1529316539933
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1529316539933
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1529316539933
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1529316539937
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1529316539937
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1529316539937
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1529316539937
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1529316539937
